"EVID ID","Filename","Date Formatted","Subject","Message ID","Domain","Email Address","File Size (KB)","SHA256","SHA512","file_category","Raw URL","storage_path","ID","file_number","Modified (A)","Modified (B)","Notes"
"EVID-011","250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com.pdf","08/04/2025","250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails","CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com","gmail.com","CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com","116192.68","bdbddc57156987f76d516ee7fbed9b54288419037d8ec6c303f6a2bcf7bced88","310cec0424859812634110fecd24bac1a9297bfd85391aef105f056dc792806de44c803d5308779003e9a8186259a4eb024e9121f9cb5d2cc2fbdf02784033c2","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250408%20-%20Fwd_%20Non-Urgent%20Maintenance%20Request%20(1803_243%20Franklin%20st)%20%20Broken%20Bed%20Frame%20with%20Exposed%20Nails%20-%20CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com.pdf","Root","11","11","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-012","250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","09/04/2025","250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails","ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com","outlook.com","ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com","218.82","91eb5a6ca6a462e73a2d0ea26519e29ed898f46ab19d7dae5373434a31fddf54","8bc96563cc398b7d2d38a8a20ac01e1df3a29b7648f7d7fb135621661baa925c1d5b72046507cf728658d10d19c793331ad8e2352a5b67f4996a8d4dbc3d2879","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250409%20-%20Re_%20Non-Urgent%20Maintenance%20Request%20(1803_243%20Franklin%20st)%20%20Broken%20Bed%20Frame%20with%20Exposed%20Nails%20-%20ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","Root","12","12","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-013","250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com.pdf","16/04/2025","250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803)","CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com","gmail.com","CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com","212.03","f6de057204b23f10cc5e02c03233b324e8a9a1b507034d6b596a86fa153c7c67","84e8246ab5febbb1581e74519b95d2800b1992bfe57891c1fe0b1dd935e892a4ec7f3ce053e11365234126c0abf16080cfba710301feb771b73b8739a187c7c2","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250416%20-%20Re_%20Urgent_%20Water%20Damage%20on%20Bedroom%20Wall%20(Unit%201803)%20-%20CAAV=8vswkBjs%2BXG=uSswFDXRj_rQpDgF%2BFzAATG2ttMBP2V3NQ@mail.gmail.com.pdf","Root","13","13","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-014","250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","16/04/2025","250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803)","ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com","outlook.com","ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com","206.56","0e92cdb572c280affacd422bee8f5a14c07cfa3b3f0775ac95b2bc7458135cc8","65b7c0fa63452e6776a53c90b98cbe80ea700401e3aa33f3eeaa4852f9a7ab30cfabc0004c5716a5d16e3f7da02eb790a18effe036907c3abbd47577024259bc","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250416%20-%20Re_%20Urgent_%20Water%20Damage%20on%20Bedroom%20Wall%20(Unit%201803)%20-%20ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","Root","14","14","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-015","250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com.pdf","16/04/2025","250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803)","CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com","gmail.com","CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com","50809.51","73c9bdaeeb8b9956c8322b3898c907f09d7e470f61324946606280233decb9c6","a74359c2bf5cea17862bb098e9e86440002916db0aba3eea7bb1312d2d7edfb8f777608a7352a55b8b6b6eb259a93e87d157de0f7808b9032a944eae64b4061c","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250416%20-%20Urgent_%20Water%20Damage%20on%20Bedroom%20Wall%20(Unit%201803)%20-%20CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com.pdf","Root","15","15","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-016","250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","20/04/2025","250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803)","c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com","outlook.com","c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com","44.44","e6f696829ac6368dba16ddd8947b01ef5e0e90c650040a9a851da59b107e2c8f","7740532d7309e210dd0f7c8b81e892edca970775a9247c6562d8511d376d60f7cf6cb77f346feb436f201c14b341d1ef72f66f7e7050cf11dedbe3781b45d3ea","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250420%20-%20Automatic%20reply_%20Urgent_%20Water%20Damage%20on%20Bedroom%20Wall%20(Unit%201803)%20-%20c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf","Root","16","16","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-017","250420 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvKRyv_a7aNhbgBu8oykp97_GS0DhmApYWHbfEzLjMtPA@mail.gmail.com.pdf","20/04/2025","250420 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803)","CAAV=8vvKRyv_a7aNhbgBu8oykp97_GS0DhmApYWHbfEzLjMtPA@mail.gmail.com","gmail.com","CAAV=8vvKRyv_a7aNhbgBu8oykp97_GS0DhmApYWHbfEzLjMtPA@mail.gmail.com","29762.61","dab18a6117de05389c09f8a59bad4044e9e1e03dd6072dc0d3ce0da971dc738e","7f650262ba00afaad583641ed4657f0fec7cbc9990222a68e59948fc5efb9a37b1096a4ff142de29e62eb04b7229f96cb16b8e4312baa8e5a8a4ff9c2648802b","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250420%20-%20Re_%20Urgent_%20Water%20Damage%20on%20Bedroom%20Wall%20(Unit%201803)%20-%20CAAV=8vvKRyv_a7aNhbgBu8oykp97_GS0DhmApYWHbfEzLjMtPA@mail.gmail.com.pdf","Root","17","17","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-018","250423 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - xPWIuD6PSe6QEk9BCXegkw@geopod-ismtpd-11.pdf","23/04/2025","250423 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000","xPWIuD6PSe6QEk9BCXegkw@geopod-ismtpd-11","geopod-ismtpd","xPWIuD6PSe6QEk9BCXegkw@geopod-ismtpd-11","78.04","834029a82972409245c1477cb56b9f31687325c6b97400e7bbe16427615fa103","10571518b7311954c8286200a5f69009ef03e771168551c8c83ae1f1095e27c4cfcfe4af9b2472eb11429572474f9fd79593b34f410f17a4dae2c26ac38864d3","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250423%20-%20Receipt%20of%20payment%20for%201803_243%20Franklin%20St%2C%20Melbourne%20VIC%203000%20-%20xPWIuD6PSe6QEk9BCXegkw%40geopod-ismtpd-11.pdf","Root","18","18","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-019","250423 - Second Follow-up_ Urgent Water Damage Escalation  Immediate Action Required (Unit 1803)   - CAAV=8vuh92vNwVdB0eqSAjKbk7cZHscd1fbYYjQwX4j6-2ehWg@mail.gmail.com.pdf","23/04/2025","250423 - Second Follow-up_ Urgent Water Damage Escalation  Immediate Action Required (Unit 1803)","CAAV=8vuh92vNwVdB0eqSAjKbk7cZHscd1fbYYjQwX4j6-2ehWg@mail.gmail.com","gmail.com","CAAV=8vuh92vNwVdB0eqSAjKbk7cZHscd1fbYYjQwX4j6-2ehWg@mail.gmail.com","32435.66","9e6a85fec1c61c451000294a108aca3df65419e7dae4c59f4390cb2e85f04659","4d3343cc76ea1089051baaf2b1ebf5d81a055947dff2e80150de152c860624c9888c53429e88e1f6c4e5b2ee7ba112622edc5a8a49c61e7ff5bfcc87bfca1987","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250423%20-%20Second%20Follow-up_%20Urgent%20Water%20Damage%20Escalation%20%20Immediate%20Action%20Required%20(Unit%201803)%20%20%20-%20CAAV=8vuh92vNwVdB0eqSAjKbk7cZHscd1fbYYjQwX4j6-2ehWg@mail.gmail.com.pdf","Root","19","19","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-020","250423-Receipt # 88184.pdf","23/04/2025","Receipt # 88184","N/A","N/A","N/A","87.48","f46bc25014d35b505b4998c659ffae09c5a03ecc4c01481cd9605c70737ac063","0ff5c32ac97822ee746db9d15961ad1fca51e1fecdc21ad00fb7969dccbbe167bd9ddba16863f080aef32f4c9373f7833be8051f6b9a72faaf3e13a36090eda6","Receipt","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250423-Receipt%20%23%2088184.pdf","Root","20","20","23/04/2025 15:10","23/04/2025 15:10",""
"EVID-021","250424 - Re_ FW_ Second Follow-up_ Urgent Water Damage Escalation  Immediate Action Required (Unit 1803) - XCpNOfqoQRSJkOVp4j_b-Q@geopod-ismtpd-6.pdf","24/04/2025","250424 - Re_ FW_ Second Follow-up_ Urgent Water Damage Escalation  Immediate Action Required (Unit 1803)","XCpNOfqoQRSJkOVp4j_b-Q@geopod-ismtpd-6","geopod-ismtpd","XCpNOfqoQRSJkOVp4j_b-Q@geopod-ismtpd-6","114.22","b8c40f3cfab935e12deac4c2467c50ab34de2dd1e4f5a1d5b501a53b99ea6751","a9cf4728a5c708b89ed76f608234fe3dec3b7d8051094363c21268e6c142654a3a3481422553fcfe4fc25498d5854ef67eb1e09ea36c89ea4e67339dfb61fa05","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250424%20-%20Re_%20FW_%20Second%20Follow-up_%20Urgent%20Water%20Damage%20Escalation%20%20Immediate%20Action%20Required%20(Unit%201803)%20-%20XCpNOfqoQRSJkOVp4j_b-Q@geopod-ismtpd-6.pdf","Root","21","21","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-022","250424 - Routine inspection scheduled for 1803_243 Franklin St, Melbourne VIC 3000 - 6qnX7yw8R8eWzLZ6mPtgSQ@geopod-ismtpd-16.pdf","24/04/2025","250424 - Routine inspection scheduled for 1803_243 Franklin St, Melbourne VIC 3000","6qnX7yw8R8eWzLZ6mPtgSQ@geopod-ismtpd-16","geopod-ismtpd","6qnX7yw8R8eWzLZ6mPtgSQ@geopod-ismtpd-16","71.53","cd84a73732b24e15d94abaadef80e5f3c57875b3ef8fa8aaad0ce83ace16700c","ab5c3d8c1f3ea8a11ffc2497625ddb811c74bf3a216668e0a1d4483dd84730f7fb9725a0ef7916766b32ec282a13a8288455aeeb64f2bf7b029b12f69a819bec","Property Management","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250424%20-%20Routine%20inspection%20scheduled%20for%201803_243%20Franklin%20St%2C%20Melbourne%20VIC%203000%20-%206qnX7yw8R8eWzLZ6mPtgSQ%40geopod-ismtpd-16.pdf","Root","22","22","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-023","250428 - Update on Leak Inspection-1803_243 Franklin - 4QLBUF9uSEmROIykJr1CWA@geopod-ismtpd-canary-0.pdf","28/04/2025","250428 - Update on Leak Inspection-1803_243 Franklin","4QLBUF9uSEmROIykJr1CWA@geopod-ismtpd-canary-0","geopod-ismtpd","4QLBUF9uSEmROIykJr1CWA@geopod-ismtpd-canary-0","2468.16","6efe9043f722bc0d88957d14f6ca0e74e3f9aa63bab57edec0a6cb24343307c1","754c4974f9c55ad6d51b62460cafd5a9daeaace67739f7c146017441689df44e5617bcfd816e1c430dcf903c743817ac6960dd1b7aa49b847475441a1e124c62","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250428%20-%20Update%20on%20Leak%20Inspection-1803_243%20Franklin%20-%204QLBUF9uSEmROIykJr1CWA@geopod-ismtpd-canary-0.pdf","Root","23","23","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-024","250428 - Update on Leak Issue at 1803_ 243 Franklin - 8uZNaRe5QeC5Hhm1EbTIqA@geopod-ismtpd-16.pdf","28/04/2025","250428 - Update on Leak Issue at 1803_ 243 Franklin","8uZNaRe5QeC5Hhm1EbTIqA@geopod-ismtpd-16","geopod-ismtpd","8uZNaRe5QeC5Hhm1EbTIqA@geopod-ismtpd-16","95.78","09a19707f6bdb258cb3a63d76c7bcf718e5990957153e90fa609117abf049707","2bb97075354232a65c0f03a21fc091320594f8899045fcbaf88af907da20f8a10171a25d787899915cb3068803ba3b06040c7b2ce0b13097bdea54370c88a203","Maintenance Communication","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250428%20-%20Update%20on%20Leak%20Issue%20at%201803_%20243%20Franklin%20-%208uZNaRe5QeC5Hhm1EbTIqA@geopod-ismtpd-16.pdf","Root","24","24","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-025","250430 - Routine inspection for 1803_243 Franklin St, Melbourne VIC 3000 - Reminder - 7ImO9OCRSiqbDHredWlFzQ@geopod-ismtpd-11.pdf","30/04/2025","250430 - Routine inspection for 1803_243 Franklin St, Melbourne VIC 3000 - Reminder","7ImO9OCRSiqbDHredWlFzQ@geopod-ismtpd-11","geopod-ismtpd","7ImO9OCRSiqbDHredWlFzQ@geopod-ismtpd-11","72.21","d092c29766375e973f5fc0127a1b861cfffbd0419f468bbb4a8814050e9ca302","72b86f75cfa83d36e85b0786f79cbdca9b3a92214239383e18254ecf0d4a36fd1690b53f9782830280cd5bd1e8e07de582e956d621d8fc4e480bed29fb09e597","Document","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250430%20-%20Routine%20inspection%20for%201803_243%20Franklin%20St%2C%20Melbourne%20VIC%203000%20-%20Reminder%20-%207ImO9OCRSiqbDHredWlFzQ%40geopod-ismtpd-11.pdf","Root","25","25","31/10/2025 02:13","31/10/2025 02:13",""
"EVID-026","250501 - Areal monthly after-hours trades list update - gOO3iPI3QmOZtF6kWxNBEA@geopod-ismtpd-3.pdf","01/05/2025","250501 - Areal monthly after-hours trades list update","gOO3iPI3QmOZtF6kWxNBEA@geopod-ismtpd-3","geopod-ismtpd","gOO3iPI3QmOZtF6kWxNBEA@geopod-ismtpd-3","77.62","dceadb43d802db4fa96351805f82b1ca69b9c347d1fdbb8faea77a3c0d743461","3968f536a3ce4594fa3b4566b596fad13da2cba3e243d1627daf3b80e901c1300ffec0d82d3582a02f2e5eb64776f97c5e837da9e7f0a666fe91c036f969a764","Property Management","https://raw.githubusercontent.com/ck999kk/All_Events/3d5af32eed007ba3a748d8f198bd42fbd221a6e7/250501%20-%20Areal%20monthly%20after-hours%20trades%20list%20update%20-%20gOO3iPI3QmOZtF6kWxNBEA@geopod-ismtpd-3.pdf","Root","26","26","31/10/2025 02:13","31/10/2025 02:13",""
